name,linkedinUrl,website,description,industry,companyType,companySize,employeeCount,followerCount,headquarters,street,city,state,country,postalCode,specialties,logoUrl,scrapedAt,foundedYear
Cat Trail Capital LLC,https://www.linkedin.com/company/cattrail-capital-llc,http://www.cattrail.com,"Cat Trail is a single family office (SFO), a private investment company focused on growing its General Partners’ capital. By managing a portfolio of diversified asset classes, Cat Trail participates in a full range of investments with the goal of long-term capital appreciation.",Investment Management,Privately Held,2-10 employees,4.0,63.0,,,,,,,"['Investments', 'Private Placements', 'Private Equity', 'Philanthropy']",https://static.licdn.com/aero-v1/sc/h/cs8pjfgyw96g44ln9r7tct85f,2026-05-17T04:07:13.611Z,2004.0
Longwall Family Office,https://www.linkedin.com/company/longwall-family-office,https://www.longwallfamilyoffice.com/,"At Longwall Family Office (Longwall Investment Partners), we understand that managing your finances can be a complex and challenging task. That's why we offer comprehensive financial services tailored to the needs of high-net-worth families and foundations. We work with our clients to develop long-term strategies that are designed to weather good markets and bad. 

Our team will simplify complex portfolios and work through multi-advisor environments so you can feel confident in your investments. With decades of experience from some of the most effective investors in the world, we focus on reducing volatility, and downside risk, as well as maximizing after-tax performance. 

Above all else, we make sure to keep our clients informed about even the smallest detail—and strive to ensure they have peace of mind. Our goal is to make sure you can sleep well at night knowing that your capital is in good hands. With our team, you can trust that we won't invest in anything we can't explain simply and clearly, and our incentives are always aligned with yours.

Distinctive, bespoke investment and advisory solutions for our family partners to build lasting legacies.",Investment Management,Privately Held,2-10 employees,5.0,273.0,"Westport, Connecticut",180 Imperial Ave,Westport,Connecticut,US,06880,[],https://media.licdn.com/dms/image/v2/D560BAQFfn_9ZuCTi4w/company-logo_200_200/company-logo_200_200/0/1687198594919/longwall_family_office_logo?e=2147483647&v=beta&t=c67NNn9pyi3-H0pLScjFbW6h9uU1FM7MEZmMwTNKeU0,2026-05-17T04:07:17.109Z,2021.0
Verlinvest,https://www.linkedin.com/company/verlinvest,http://www.verlinvest.com,"Verlinvest is an international, family-backed evergreen consumer investment company. We partner with visionary entrepreneurs who are driving consumer revolutions and building the next generation of category-defining brands that will positively impact the consumer sector for years to come. Established in 1995, with offices in New York, Brussels, London, Mumbai, and Singapore, Verlinvest focuses on growth-stage companies in FMCG, healthcare, and digital retail, who are restless to accelerate growth. The firm has over €2bn in AuM and counts brands such as Oatly, Vita Coco, Tony's Chocolonely, Purplle.com, Mutti, and Tom&Co among our portfolio, alongside alumni Chewy.com, Vitaminwater, and Remy Cointreau.",Venture Capital and Private Equity Principals,Privately Held,11-50 employees,74.0,25832.0,Brussels,18 place Flagey,Brussels,,BE,1050,"['Digital & E-commerce', 'Food & Beverage', 'Retail & Hospitality', 'Education', 'Lifestyle', 'Beauty', 'Sports and Entertainment', 'Pets']",https://media.licdn.com/dms/image/v2/C4D0BAQHF9LuA_4O3uA/company-logo_200_200/company-logo_200_200/0/1630573814121/verlinvest_logo?e=2147483647&v=beta&t=JqdI6xrmfxc3y4yF9Ue_1lo2B2ND0lE_47XoXIB5FV4,2026-05-17T04:07:21.910Z,1995.0
Premji Invest,https://www.linkedin.com/company/premji-invest,www.premjiinvest.com,"Premji Invest (PI) is a leading global investment firm with a charter to back emerging and disruptive technologies, address sizeable market opportunities and nurture the spirit of entrepreneurship.  
PI invests in both private and public markets. Its private investments include early stage, growth equity and buyouts and focus areas span financial services, technology, consumer, industrials, and healthcare. The returns generated by PI primarily support the work of Azim Premji Foundation, a non-profit that works to improve the lives of the underserved and underprivileged in society. ",Capital Markets,Privately Held,51-200 employees,131.0,29157.0,Bangalore,,Bangalore,,IN,,[],https://media.licdn.com/dms/image/v2/D560BAQHOSwmGYlxcFQ/company-logo_200_200/company-logo_200_200/0/1690463284814/premji_invest_logo?e=2147483647&v=beta&t=Uvr8Y13yyxFklgWmhHLSf8mEJ6xQ5gXGIIVJYBFFdo4,2026-05-17T04:07:27.109Z,
Premji Invest,https://in.linkedin.com/company/premji-invest,www.premjiinvest.com,"Premji Invest (PI) is a leading global investment firm with a charter to back emerging and disruptive technologies, address sizeable market opportunities and nurture the spirit of entrepreneurship.  
PI invests in both private and public markets. Its private investments include early stage, growth equity and buyouts and focus areas span financial services, technology, consumer, industrials, and healthcare. The returns generated by PI primarily support the work of Azim Premji Foundation, a non-profit that works to improve the lives of the underserved and underprivileged in society. ",Capital Markets,Privately Held,51-200 employees,131.0,29157.0,Bangalore,,Bangalore,,IN,,[],https://media.licdn.com/dms/image/v2/D560BAQHOSwmGYlxcFQ/company-logo_200_200/company-logo_200_200/0/1690463284814/premji_invest_logo?e=2147483647&v=beta&t=Uvr8Y13yyxFklgWmhHLSf8mEJ6xQ5gXGIIVJYBFFdo4,2026-05-17T04:07:32.809Z,
TradeIL Bangalore,https://in.linkedin.com/company/israel-economic-mission-to-south-india,https://itrade.gov.il/india/our-team-bangalor/,"The Commercial Section of the Consulate General of Israel in Bangalore was established in 2012 to promote trade relations, industrial cooperation, and mutual investment between Israel and Southern India (Karnataka, Tamil Nadu, Kerala and Pondicherry, Telangana and Andhra Pradesh).",International Trade and Development,Government Agency,2-10 employees,2.0,617.0,Bangalore,,Bangalore,,IN,,[],https://media.licdn.com/dms/image/v2/D560BAQGn_vJKFqFLaw/company-logo_200_200/B56Z0SBn_IJkAI-/0/1774123909877/israel_economic_mission_to_south_india_logo?e=2147483647&v=beta&t=1-Tyu-Ku79zg3u24DpKcz8mtTc-QwKsFQijK_6r4cGc,2026-05-17T04:07:38.612Z,2012.0
FICCI,https://in.linkedin.com/company/ficci,http://www.ficci.com,"Established in 1927, the Federation of Indian Chambers of Commerce and Industry (FICCI) is the oldest, largest and the apex business chamber in India. Our history is closely interwoven with India's independence struggle and now with her emergence as one of the most rapidly growing economies globally. FICCI has contributed to this historical process by encouraging debate, articulating the private sector’s views and influencing policy.

A non-government, not-for-profit organisation, FICCI is the voice of India’s business and industry. FICCI draws its membership from the corporate sector, both private and public, including SMEs and MNCs; FICCI enjoys an indirect membership of over 2,50,000 companies from various regional chambers of commerce.

FICCI provides a platform for sector specific consensus building, networking and as the first port of call for Indian industry and the international business community.",Non-profit Organizations,Nonprofit,201-500 employees,1216.0,230521.0,"New Delhi, New Delhi",Tansen Marg,New Delhi,New Delhi,IN,110001,[],https://media.licdn.com/dms/image/v2/D560BAQF28o4rd_IlDA/company-logo_200_200/B56ZuiBUqVKwAM-/0/1767949815435/ficci_logo?e=2147483647&v=beta&t=rCdCKteiaqyg251EfrcnWfcCGLiAcDg4aJDqOdB6Baw,2026-05-17T04:07:44.410Z,1927.0
Mintifi,https://in.linkedin.com/company/mintifi,https://mintifi.com/,"SMEs are the future and form the backbone of every industry. As a corporate, one is heavily reliant on their supply chain consisting of SMEs (whether stockists, distributors, dealers or retailers) to further their growth. However, with crores of rupees stuck in unpaid invoices and receivables every month, corporates often are unable to fully optimize their potential to grow.

Unlock this potential with Mintifi’s Advanced Receivables Management Suite that will not only enable you to monetize your receivables instantly, but also provide an array of solutions right from invoicing to collections and risk management to recon! Catering to 250+ cities pan-India, Mintifi is your trusted channel finance partner to scale your business to newer heights while solving for your supply chain’s working capital woes.

Get access to more customers and spread your distribution reach across tier 2 & 3 markets as well. Just leave your Supply Chain Management to us and enjoy our one-stop accounts receivables management solution for all- right from invoice payments, reconciliation, credit risk assessment as well as collections- all under one roof!

Founded in 2017, Mintifi has already created a stir in the market by bringing automation to the forefront in an otherwise traditional and largely manual lending space. Mintifi is backed by investors including International Finance Corporation (an arm of the World Bank), Lok Capital and Growth Catalyst Partners. 

Contact us: help@mintifi.com
Subscribe: https://www.linkedin.com/company/mintifi
Follow: https://www.instagram.com/mintifi.pvt.ltd/
Say Hi: https://www.facebook.com/officialmintifi
Learn More: https://www.mintifi.com/  ",Financial Services,Privately Held,201-500 employees,1268.0,37919.0,"MUMBAI, Maharashtra","Times Square, Andheri Kurla Road, Marol, Andheri (East)",MUMBAI,Maharashtra,IN,400059,"['Working Capital Loans', 'Unsecured Business Loans', 'Channel Financing', 'Supply Chain Finance']",https://media.licdn.com/dms/image/v2/C4D0BAQEbPslRRQbnRA/company-logo_200_200/company-logo_200_200/0/1630542824225/mintifi_logo?e=2147483647&v=beta&t=3dBgaXdLI7pxoeloFhZ06ITyF9eqqdjRrf7spBmpB8k,2026-05-17T04:07:50.610Z,2017.0
KreditBee,https://in.linkedin.com/company/kreditbee,https://www.kreditbee.in,"KreditBee, India’s leading online credit solution provider, caters to a vast user base of over 180 million individuals, predominantly young professionals. This includes both salaried employees and self-employed individuals. With more than 80 million registered customers and over 15 million unique loan customers, KreditBee offers the convenience of personal loans, along with business loans, loans against property (LAP), two-wheeler loans, and other financial products tailored to meet individual requirements. The company serves the credit and other personal finance requirements through its in-house RBI-registered NBFC, KrazyBee Services Limited (a Systemically Important NBFC), along with partnerships with over 10 renowned financial institutions.
",Financial Services,Privately Held,"1,001-5,000 employees",1764.0,52907.0,"Bangalore, Karnataka","KrazyBee, Ground Floor, CA Site No.1, 80 Feet Rd, HAL 2nd Stage, Kodihalli",Bangalore,Karnataka,IN,560008,[],https://media.licdn.com/dms/image/v2/C560BAQFHItzcKIFr7g/company-logo_200_200/company-logo_200_200/0/1668503580654/kreditbee_logo?e=2147483647&v=beta&t=JXknR6Vp1qphtqwe2GGojq80Jejhaizgsv6QEw8NLLg,2026-05-17T04:07:57.509Z,2018.0
Digital India Foundation,https://in.linkedin.com/company/digital-india-foundation,http://digitalindiafoundation.org,"DIF is a policy think tank promoting Digital Inclusion, Cyber Security, Mobile Manufacturing, Domestic Consumption, Software Products and Smart Cities",Public Policy Offices,Nonprofit,2-10 employees,11.0,3714.0,"Noida, Uttar Pradesh",G-46,Noida,Uttar Pradesh,IN,,[],https://media.licdn.com/dms/image/v2/C560BAQHpJ2rrNaqQIg/company-logo_200_200/company-logo_200_200/0/1631346525187?e=2147483647&v=beta&t=UlR76MorYhENbx3xBUJxZnFMYfq3r3CNlqE7RR32w4s,2026-05-17T04:08:03.008Z,2015.0
Indiaspora,https://www.linkedin.com/company/indiasporaforum,https://www.indiaspora.org/,"Indiaspora (n): The movement of Indians from their ancestral homeland to positions of influence across the world.

Our members are a powerful network of diaspora leaders from diverse backgrounds and professions who are committed to building stronger communities with a culture of giving and inspiring social change.

Follow our weekly newsletter to stay up-to-date on all things Indian diaspora related! indiaspora.org/newsletter",Non-profit Organizations,Nonprofit,2-10 employees,35.0,33858.0,"San Francisco, California","3450 Sacramento Street, #615",San Francisco,California,US,94118,[],https://media.licdn.com/dms/image/v2/C4E0BAQGxt6VjYxhAGQ/company-logo_200_200/company-logo_200_200/0/1630634181766/indiaspora_logo?e=2147483647&v=beta&t=ojUXOavDoaK_V4s5HAsGZGiEg-sLczYeDTk1DQYYIHs,2026-05-17T04:08:08.210Z,2012.0
DOSS,https://www.linkedin.com/company/doss-com,https://www.doss.com/,"DOSS is building an Operations Cloud for the real world. We deliver a modern, AI-native platform that helps physical product businesses manage the flow of goods, dollars, and data across procurement, inventory, orders, fulfillment, and finance in real time. Purpose-built to replace spreadsheet chaos and rigid, consultant-heavy ERP implementations, DOSS delivers fast time-to-value and stays adaptable as a business evolves. Through our Adaptive Resource Platform (ARP) and unified operational data model, teams can deploy quickly, automate workflows, and make changes without months of re-implementation. DOSS is trusted by fast-growing operators to run critical operations with speed, control, and confidence.","Technology, Information and Internet",Privately Held,51-200 employees,142.0,7640.0,"San Francisco, CA",,San Francisco,CA,US,,[],https://media.licdn.com/dms/image/v2/D560BAQEt7x99mJwHmA/company-logo_200_200/B56Zy_fs3CHUAM-/0/1772739284747/doss_com_logo?e=2147483647&v=beta&t=dHuljDjX8u4HmLmvDdRF0mTvW1uNJfccUuFdT7i-iuM,2026-05-17T04:08:13.009Z,
Boston Multi Family Office,https://www.linkedin.com/company/boston-group-ltd,http://www.bostonmfo.com/,"The world of the entrepreneur can seem chaotic. It is a life of exceptional challenges, rare opportunities, and remarkable people. Yet success is found at the heart of the maelstrom, and there are those who navigate it willingly and confidently. They revel in mastering it, and their reward is to see and know a different world. We don’t just understand this life; we live it.

Our philosophy is simple, but challenging:

EMBRACE CHANGE. THRIVE IN CHAOS. KNOW DIFFERENT.

We provide boutique fiduciary and corporate services to a discerning global client base.

Boston Limited is licensed by the Isle of Man Financial Services Authority. Boston Trust Limited is licensed by the Malta Financial Services Authority to provide trust and fiduciary services in terms of the Trusts and Trustees Act. Boston Jersey Limited is regulated by the Jersey Financial Services Commission.",Financial Services,Privately Held,51-200 employees,77.0,3945.0,"Douglas, Isle of Man","2nd Floor, St Mary's Court",Douglas,Isle of Man,IM,IM11EU,"['Trustee Services', 'Corporate Services', 'Family Office', 'Director Services']",https://media.licdn.com/dms/image/v2/C4E0BAQGh0fdFpuAyFg/company-logo_200_200/company-logo_200_200/0/1631310626156?e=2147483647&v=beta&t=tCf-NTqmPoBhEDSy3B3cx4y-XAXRDMWAUrLYoRkqyCs,2026-05-17T04:08:17.410Z,2002.0
Cresset,https://www.linkedin.com/company/cresset-capital,http://www.cressetcapital.com,"Cresset is a firm built by clients, for clients. As an independent, award-winning* multi-family office and private investment firm, we are reimagining the way wealth is experienced. Our purpose is to help ensure that both wealth and life are fully optimized**—integrated, intentional, and aligned with each client’s vision of success.  
   
We provide access to the caliber of talent, ideas, and investment opportunities typically available to the largest single-family offices and institutions. Our approach is personalized, entrepreneurial, and client-first.  
 
Proudly owned by our clients and employees, Cresset was built to endure. We are creating a 100+ year firm—one focused on delivering an exceptional experience, not only for the families we serve but for the team that serves them. Our commitment to our clients has earned recognition by prominent American financial and business publications. Cresset is guided by long-term relationships, shared success, and a belief that wealth should serve a life well lived. Learn more at www.cressetcapital.com.  
 
*Disclosures related to awards, recognitions, and rankings: https://cressetcapital.com/about/rankings-and-awards/

**Wealth Optimized, Life Elevated refers to the firm’s philosophy and process in providing advisory and planning services and is not intended to convey a guarantee of results.
 
Cresset refers to Cresset Capital Management, LLC and its respective direct and indirect subsidiaries and controlled affiliates. For full list of Cresset subsidiaries and controlled affiliates, please see here: https://cressetcapital.com/about/rankings-and-awards/",Financial Services,Privately Held,201-500 employees,495.0,41831.0,"Chicago, IL",444 W. Lake Street,Chicago,IL,US,60606,[],https://media.licdn.com/dms/image/v2/C560BAQGknkmLZqpuSA/company-logo_200_200/company-logo_200_200/0/1662738681084/cresset_capital_logo?e=2147483647&v=beta&t=F6qY1cm8TYwK88LQ6VgMufrtT3h0pSXQSY9VlhfWlE8,2026-05-17T04:08:22.411Z,2017.0
,https://www.linkedin.com/company/1316624,,,,,,,,,,,,,,[],,2026-05-17T04:08:29.009Z,
Scott Capital Partners LLP,https://www.linkedin.com/company/scott-capital-partners-llp,www.scottcp.com,"We offer a comprehensive family office service for our clients which includes a consolidated overview of all their assets, a coordinated and clearly articulated investment strategy across all their portfolios whether managed by us or others including the client themselves.  We then overlay a family governance structure to create a set of values and sense of purpose that allows the family to achieve greater fulfilment and satisfaction from their wealth.",Investment Management,Partnership,11-50 employees,19.0,503.0,London,Jermyn Street,London,,GB,,[],https://media.licdn.com/dms/image/v2/D560BAQHBCSrUiqq2Wg/company-logo_200_200/company-logo_200_200/0/1719390382011/scott_capital_partners_llp_logo?e=2147483647&v=beta&t=6L9PYIXzCw5-yfjehSbsf_y3UpHsL-Eum4iPGKJP_gg,2026-05-17T04:08:33.508Z,2022.0
